name,year,on,tech,area,c_area,power,c_power,freq,gops,c_gops,gsyops,c_gsyops,power_eff,c_power_eff,area_eff,c_area_eff,gsyops_eff,c_gsyops_eff,area_eff_sy,c_area_eff_sy,precision,inference,training,acc_target,company,link
SmartExchange,2020,simulated,28,,False,2853.0,True,1000.0,8192.0,True,,False,4054.021,True,,False,,False,,False,Bit 4/8 | FxP 8,True,False,DNN; CNN,,https://ieeexplore.ieee.org/abstract/document/9138981
MatRaptor,2020,simulated,28,2.257,False,1344.95,False,2000.0,32.0,False,,False,23.793,True,14.178,True,,False,,False,,True,,SpGEMM,,https://ieeexplore.ieee.org/abstract/document/9251978
DT-CNN,2020,simulated,65,6.8,False,206.0,False,200.0,664.4,False,,False,3220.0,False,97.6,False,,False,,False,Bit 8,True,False,CNN; GAN,,https://ieeexplore.ieee.org/abstract/document/9094335
,2020,simulated,45,,False,199.68,False,25.0,121.4,False,,False,610.0,False,,False,,False,,False,Bit 1/4/5/8,True,,MAC,,https://ieeexplore.ieee.org/abstract/document/8998360
A3,2020,simulated,40,2.082,False,98.92,False,1000.0,221.0,False,,False,2234.13,True,106.148,True,,False,,False,,True,False,Transformer,,https://ieeexplore.ieee.org/abstract/document/9065498
OPTIMUS,2020,simulated,28,5.186,False,928.14,False,200.0,,False,,False,,False,,False,,False,,False,Bit 32 | FxP 16,True,,GEMM,,https://proceedings.mlsys.org/paper/2020/hash/903ce9225fca3e988c2af215d4e544d3-Abstract.html
SpArch,2020,simulated,40,28.49,False,9260.0,False,1000.0,16.0,False,,False,1.728,True,0.562,True,,False,,False,FP 64,True,,SpGEMM,,https://ieeexplore.ieee.org/abstract/document/9065428
,2020,ASIC,14,9.8,False,2727.0,True,1500.0,3000.0,False,,False,1100.0,False,300.0,False,,False,,False,FP 16,True,True,CNN; LSTM; RNN,IBM,https://ieeexplore.ieee.org/abstract/document/9162917
REVEL,2020,simulated,28,1.93,False,1663.3,False,1250.0,,False,,False,,False,,False,,False,,False,,True,,Matrix Alg.,,https://ieeexplore.ieee.org/abstract/document/9065593
ETHOS-U55,2020,ASIC,16,0.1,False,,False,1000.0,512.0,False,,False,,False,2880.0,True,,False,,False,INT 8/16,True,False,CNN; LSTM; RNN,ARM,https://www.arm.com/products/silicon-ip-cpu/ethos/ethos-u55
ETHOS-U65,2020,ASIC,16,0.6,False,,False,,1000.0,False,,False,,False,1666.67,True,,False,,False,INT 8/16,True,False,CNN; LSTM; RNN,ARM,https://www.arm.com/products/silicon-ip-cpu/ethos/ethos-u65
KL720,2020,ASIC,,,False,1362.5,False,696.0,1500.0,False,,False,1250.0,True,,False,,False,,False,Bit 8,True,,CNN; LSTM; RNN,Kneron,https://www.kneron.com/solutions/soc/
GoSPA,2021,simulated,28,0.25,True,26.64,False,500.0,16.0,True,,False,600.601,True,64.0,True,,False,,False,Bit 8/16,True,False,CNN,,https://ieeexplore.ieee.org/abstract/document/9499915
RingCNN,2021,simulated,40,23.36,False,2220.0,False,250.0,41.0,False,,False,28400.0,False,1755.137,True,,False,,False,FxP 8,True,False,CNN,,https://ieeexplore.ieee.org/abstract/document/9499811
SNAFU-ARCH,2021,simulated,28,1.0,False,0.32,False,50.0,0.2,True,,False,625.0,True,0.2,True,,False,,False,Bit +32,True,False,GEMM,,https://ieeexplore.ieee.org/abstract/document/9499726
Cambricon-Q,2021,simulated,45,9.18,True,1030.31,False,1000.0,2000.0,False,,False,1941.163,True,217.865,True,,False,,False,Bit 4/8/12/16,True,True,CNN; RNN,Cambricon,https://ieeexplore.ieee.org/abstract/document/9499944
ELSA,2021,simulated,40,2.1,False,1472.89,False,1000.0,1088.0,False,,False,738.684,True,518.095,True,,False,,False,FP 16 (custom) | FxP 6/9 (custom),True,False,Transformer,,https://ieeexplore.ieee.org/abstract/document/9499860
RaPiD,2021,ASIC,7,36.0,False,6206.0,True,1600.0,51200.0,False,,False,8250.0,False,2610.0,False,,False,,False,INT 2/4| FP 6/8/16,True,True,CNN; LSTM; RNN; Transformer,IBM,https://ieeexplore.ieee.org/abstract/document/9365791
NPU'21,2021,simulated,5,5.46,False,327.0,False,1196.0,14700.0,False,,False,13600.0,False,4447.2,True,,False,,False,INT 8/16,True,False,DNN; CNN,Samsung,https://ieeexplore.ieee.org/abstract/document/9365928
,2021,simulated,40,0.57,False,93.0,False,1600.0,899.0,False,,False,9700.0,False,1577.193,True,,False,,False,Bit 8,True,False,MLP,,https://ieeexplore.ieee.org/abstract/document/9458511
PremCNN,2021,simulated,28,3.44,False,500.0,False,800.0,102.4,True,,False,204.8,True,29.767,True,,False,,False,Bit 16,True,False,DNN; CNN,,https://ieeexplore.ieee.org/abstract/document/9040601
GAMMA,2021,simulated,45,30.6,False,,False,1000.0,20.0,False,,False,,False,0.654,True,,False,,False,,True,,SpGEMM,,https://dl.acm.org/doi/10.1145/3445814.3446702
FPRaker,2021,simulated,65,771.6114144,True,3942.0,True,600.0,11059.2,True,,False,2835.69231,True,14.3326,True,,False,,False,BFP 16,True,True,CNN,,https://dl.acm.org/doi/10.1145/3466752.3480106
Bitlet,2021,simulated,28,1.54,False,366.0,False,1000.0,744.7,False,,False,1335.93,False,483.572,True,,False,,False,FP 32| FxP 1-24,True,True,DNN; CNN; GAN; Transformer,,https://dl.acm.org/doi/10.1145/3466752.3480123
RASA,2021,simulated,15,0.904,True,,False,500.0,128.0,True,,False,,False,138.54,True,,False,,False,BFP 16| FP 32,True,,GEMM,,https://ieeexplore.ieee.org/abstract/document/9586257
StepStone PIM,2021,simulated,,,False,1400.0,False,1200.0,,False,,False,,False,,False,,False,,False,Bit 32,True,,GEMM,,https://dl.acm.org/doi/abs/10.1145/3458817.3476146
SpAtten,2021,simulated,40,18.71,False,8300.0,False,1000.0,2880.0,True,,False,346.988,True,153.928,True,,False,,False,Bit 8/12,True,False,Transformer,,https://ieeexplore.ieee.org/abstract/document/9407232
